,premise_emotion,premise_motivation,premise_consequence,premise_rot,hypothesis_emotion,hypothesis_motivation,hypothesis_consequence,hypothesis_rot
2459,I (myself)'s emotion is sad.,I (myself)'s motivation is to be responsible.,[immoral_consequence] I was arrested for drunken behavior.,It's wrong to ruin your friends wedding.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be responsible.,[immoral_consequence] I feel guilty for the bad behavior.,It's wrong to be responsible at a friend's wedding.
2460,.,.,"[immoral_consequence] One's abilities are hurt, and they become a jerk.",It's good to be honest with your friends.,.,.,[moral_consequence] One's goals are a good example of how they work together.,It's good to be able to achieve your goals.
2461,My husband's emotion is angry.,My daughter's boyfriend's motivation is to be safe.,"[immoral_consequence] My husband's feelings are hurt, and he is arrested.",It's wrong to attack your partner.,My daughter's boyfriend's emotion is happy.,My daughter's boyfriend's motivation is to be helpful.,[immoral_consequence] My daughter's boyfriend was very upset and resents him for being so rude.,It's good to help out your partner.
2462,.,.,[immoral_consequence] The other people in the room were hurt by the cry of terror and the other people were hurt.,It's good to listen to your friends.,.,.,[immoral_consequence] The woman's voice is shattered and screamed at him.,It's good to listen to your friends.
2463,I (myself)'s emotion is happy.,I (myself)'s motivation is to be helpful.,"[immoral_consequence] My friend's feelings are hurt, and he is unable to get to know me.",It's good to treat your feelings with respect.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,"[immoral_consequence] My friend's instinct is hurt, and he is unable to get to know me.",It's good to be honest with your friends.
2464,I (myself)'s emotion is disgusted.,I (myself)'s motivation is to be healthy.,[immoral_consequence] I've been eating a raw oyster and never felt so gross.,It's good to be aware of your health.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be healthy.,[immoral_consequence] The food poisoning caused me to feel sick and sick.,It's good to eat raw oysters.
2465,.,.,[immoral_consequence] The police found the body and arrested for causing a homicide.,It's good to be careful when you're injured.,.,.,[immoral_consequence] The people in the area who chased him were horrified and terrified of him.,It's good to chase your body.
2466,My kids' emotion is sad.,I (myself)'s motivation is to be a good parent.,[immoral_consequence] My kids and I both lost their home and lost their home.,It's good to lose your home.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a good friend.,[immoral_consequence] I was unable to find a job and lost my job.,It's good to have a home that you have in your life.
2467,.,.,"[immoral_consequence] The conversation was ruined, and the conversation was ruined.",It's good to talk to people.,.,.,[immoral_consequence] The business was a bit sloppy and the business was a bit sloppy.,It's good to have a conversation with people.
2468,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I was unable to get to the bar and was unable to get to the bar.,It's good to leave your friends at the bar.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be safe.,[immoral_consequence] I am a bit offended by the abandonment of my friend.,It's wrong to abandon your friend at the bar.
2469,Someone's emotion is annoyed.,Someone's motivation is to be helpful.,[immoral_consequence] Someone in the break room was upset and resents him.,It's understandable to be upset when someone makes a mess in the microwave.,The awesome person's emotion is happy.,The awesome person's motivation is to be helpful.,[immoral_consequence] The people in the break room are upset and upset.,It's good to have a break room.
2470,.,.,[immoral_consequence] You're unable to see the person you're dead.,It's good to be aware of your death.,.,.,[immoral_consequence] The body is bitten by a rash and is unable to find it.,It's good to find your body.
2471,I (myself)'s emotion is annoyed.,Neighbor's motivation is to be safe.,[immoral_consequence] My neighbor is scolded by the noise and is angry at her.,It's good to be respectful to your neighbors.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be safe.,[immoral_consequence] My neighbor is upset and yells at me.,It's good to be happy when your neighbor is upset with you.
2472,Guys' emotion is proud.,Guys' motivation is to be honest.,[moral_consequence] The guys are able to get their work done and get better.,It's good to support people.,Guys' emotion is happy.,Guys' motivation is to be helpful.,[moral_consequence] The guys are happy to have a good time.,It's good to go to the mat for your friends.
2473,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] My daughter is unable to attend her classes and doesn't get to go to the school.,It's good to be honest with your kids.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be a successful parent.,[immoral_consequence] My daughter is unable to attend her classes and is unable to attend her classes.,It's good to be a successful parent.
2474,I (myself)'s emotion is frustrated.,.,[moral_consequence] You're able to solve the problem quickly.,It's good to be prepared for a problem.,I (myself)'s emotion is annoyed.,You're allowed to do your own things.,[moral_consequence] You're able to get your cards on the table.,It's good to have your cards on the table.
2475,Brother's emotion is irritated.,Brother's motivation is to be helpful.,[immoral_consequence] My brother is hurt by the pimple on his face.,It's good to be honest with your family.,Brother's emotion is happy.,Brother's motivation is to be respectful.,[immoral_consequence] My brother is hurt by the pimple on my face.,It's good to talk to your family.
2476,I (myself)'s emotion is sad.,Friends' motivation is to be helpful.,[immoral_consequence] I am unable to use my friends.,It's okay to be sick of being used by your friends.,I (myself)'s emotion is happy.,I (myself)'s motivation is to be loved.,[moral_consequence] I feel loved and loved by my friends.,It's good to use your friends when they need something.
2477,Susan's emotion is happy.,Susan's motivation is to be healthy.,[moral_consequence] Susan is happy to see that she's been healthy and fit.,It's good to be healthy.,.,.,[immoral_consequence] The man's wife is upset and scolds susan for not being able to get to the house.,It's good to be aware of the weather.
2478,I (myself)'s emotion is happy.,I (myself)'s motivation is to get something.,[immoral_consequence] I was unable to pay for the bag and had to pay for it.,It's good to buy things for yourself.,I (myself)'s emotion is sad.,I (myself)'s motivation is to be helpful.,[immoral_consequence] People in the world don't have food to eat and don't have to eat it.,It's good to spend money on things you don't need.
2479,.,.,[immoral_consequence] The other players are unable to play with him.,It's good to play a game that makes you happy.,.,.,[immoral_consequence] The other players resent him for playing a Romantic.,It's good to play a song that you like.
2480,I (myself)'s emotion is irritated.,You're expected to be helpful.,[moral_consequence] You can't control the situation and not have to worry about it.,It's good to try to control your situation.,.,You're expected to be able to get a flow.,[moral_consequence] You should be able to get a flow of water.,It's good to be careful when you're in a hurry.
2481,I (myself)'s emotion is disappointed.,I (myself)'s motivation is to be helpful.,[moral_consequence] I was disappointed that my objections were put aside.,It's good to be honest with your friends.,I (myself)'s emotion is annoyed.,I (myself)'s motivation is to be helpful.,[immoral_consequence] I was unable to get to the point where I was talking.,It's good to be careful when you're dealing with your objections.
2482,.,.,[immoral_consequence] The past was a negative element that he didn't remember.,It's good to remember things you don't like.,.,.,"[immoral_consequence] The past was dark corners in his past, and he didn't remember it.",It's good to remember things you don't like.
2483,Friends' emotion is sad.,I (myself)'s motivation is to have fun.,[immoral_consequence] I was stuck at work and was unable to get to work.,It's good to have friends.,I (myself)'s emotion is sad.,I (myself)'s motivation is to have fun.,[immoral_consequence] I was unable to get to work and was stuck at work.,It's good to have friends.
